City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
413,kavieng,-2.5744,150.7967,301.04,78,99,2.83,PG,1667640896
414,heilbad heiligenstadt,51.3833,10.1333,282.46,84,11,0.45,DE,1667640897
415,gorontalo,0.5412,123.0595,299.33,87,81,1.14,ID,1667640898
416,strezhevoy,60.7333,77.5889,273.0,97,100,4.95,RU,1667640900
417,inhambane,-23.865,35.3833,302.14,61,40,6.17,MZ,1667640901
418,boyolangu,-8.1181,111.8935,299.1,89,100,2.25,ID,1667640903
419,atikokan,48.7555,-91.6216,270.14,66,0,1.61,CA,1667640904
420,marzuq,14.4,46.4667,302.41,19,2,4.52,YE,1667640906
421,tapes,-30.6733,-51.3958,290.29,74,6,2.36,BR,1667640907
422,cabra,37.4725,-4.4421,291.3,38,26,0.77,ES,1667640909
423,vila velha,-20.3297,-40.2925,293.12,76,20,3.6,BR,1667640863
424,hachinohe,40.5,141.5,278.82,72,8,3.54,JP,1667640912
425,agadez,19.75,10.25,298.1,16,100,4.92,NE,1667640913
426,aras,42.5617,-2.356,280.38,81,0,4.12,ES,1667640914
427,aldan,58.6031,125.3894,262.39,95,100,3.77,RU,1667640918
428,puerto narino,-3.7703,-70.3831,292.66,87,11,0.1,CO,1667640920
429,cahors,44.4167,1.3333,284.03,63,19,1.49,FR,1667640921
430,ruston,32.5232,-92.6379,285.7,94,100,0.0,US,1667640924
431,vigrestad,58.5667,5.7,282.92,78,79,4.16,NO,1667640925
432,bara,10.3744,10.7288,304.76,18,4,4.43,NG,1667640927
433,coffs harbour,-30.3,153.1333,291.13,82,100,2.06,AU,1667640928
434,durant,33.994,-96.3708,280.35,91,0,2.57,US,1667640868
435,maba,24.6841,113.5984,288.78,90,94,0.93,CN,1667640931
436,ola,59.5833,151.2833,265.59,84,48,6.07,RU,1667640932
437,aden,12.7794,45.0367,300.93,67,21,5.79,YE,1667640934
438,dunedin,-45.8742,170.5036,284.15,61,28,3.58,NZ,1667640935
439,la orilla,17.9833,-102.2333,297.45,88,35,2.07,MX,1667640936
440,shubarshi,48.5872,57.1869,274.85,81,100,0.82,KZ,1667640938
441,zavodouspenskoye,56.8626,65.0155,272.31,96,100,5.96,RU,1667640939
442,flin flon,54.7682,-101.865,265.44,95,100,1.84,CA,1667640941
443,kunming,25.0389,102.7183,290.11,48,20,6.0,CN,1667640934
444,tazmalt,36.3868,4.3989,290.05,55,79,4.62,DZ,1667640943
445,curitibanos,-27.2828,-50.5844,283.08,83,63,1.77,BR,1667640945
446,odweyne,9.4092,45.064,301.7,31,11,0.85,SO,1667640946
447,alexandria,31.2156,29.9553,297.13,57,40,1.54,EG,1667640948
448,two rivers,44.1539,-87.5693,281.42,97,100,4.02,US,1667640949
449,mount isa,-20.7333,139.5,304.02,22,75,3.6,AU,1667640660
450,gandajika,-6.75,23.95,293.66,89,100,1.4,CD,1667640952
451,harta,46.6985,19.0305,282.47,84,100,7.88,HU,1667640953
452,port lincoln,-34.7333,135.8667,290.72,68,99,2.56,AU,1667640954
453,nishihara,26.1842,127.7558,295.96,69,100,8.75,JP,1667640956
454,lagos,6.5833,3.75,302.33,56,78,0.54,NG,1667640746
455,kaseda,31.4167,130.3167,289.56,56,48,6.24,JP,1667640960
456,ust-kuyga,70.0167,135.6,251.26,100,100,0.43,RU,1667640961
457,biak,-0.9131,122.8766,299.5,82,24,2.27,ID,1667640963
458,karaton,-6.3424,106.1045,298.74,87,97,1.94,ID,1667640964
459,ullapool,57.8987,-5.1604,281.12,88,100,2.91,GB,1667640966
460,salisbury,51.0693,-1.7957,285.89,96,75,3.09,GB,1667640967
461,seymchan,62.8833,152.4333,254.23,98,100,1.92,RU,1667640968
462,vastseliina,57.7303,27.2932,276.15,62,26,4.55,EE,1667640971
463,thabazimbi,-24.5917,27.4116,303.26,36,2,4.85,ZA,1667640972
464,barcelos,41.5388,-8.6151,288.1,59,6,0.77,PT,1667640974
465,slave lake,55.2834,-114.769,272.14,93,100,2.06,CA,1667640975
466,shibetsu,43.659,145.132,276.54,60,20,2.57,JP,1667640977
467,kasongo-lunda,-6.4667,16.8167,300.44,69,97,2.28,CD,1667640980
468,mathathane,-22.2687,28.7495,302.39,41,100,1.63,BW,1667640981
469,pochutla,15.7432,-96.4661,297.49,89,34,1.46,MX,1667640982
470,galveston,29.3669,-94.9669,290.13,92,100,8.23,US,1667640984
471,waddan,29.1614,16.139,298.81,24,0,5.47,LY,1667640985
472,zaraza,9.3503,-65.3245,293.01,97,54,1.39,VE,1667640987
473,saint-pierre,-21.3393,55.4781,300.47,73,100,6.17,RE,1667640988
474,constitucion,-35.3333,-72.4167,281.49,89,46,2.0,CL,1667640990
475,camacupa,-12.0167,17.4833,296.16,63,61,3.75,AO,1667640991
476,ardabil,38.2498,48.2933,288.9,31,75,1.03,IR,1667640992
477,enumclaw,47.2043,-121.9915,281.7,81,100,2.24,US,1667640994
478,villanueva de cordoba,38.3228,-4.6287,289.93,25,9,0.59,ES,1667640995
479,ucluelet,48.9329,-125.5528,280.42,83,3,2.24,CA,1667640997
480,iqaluit,63.7506,-68.5145,264.0,73,100,4.63,CA,1667640998
481,moyale,3.5167,39.0584,299.74,49,60,4.53,KE,1667641000
482,lalibela,12.0333,39.0333,296.92,17,2,1.58,ET,1667641002
483,hervey bay,-25.2986,152.8535,293.47,69,2,7.26,AU,1667641004
484,montepuez,-13.1256,38.9997,307.72,25,1,3.09,MZ,1667641005
485,sistranda,63.7256,8.834,283.13,78,79,2.95,NO,1667641007
486,huangchuan,32.1272,115.0394,289.88,37,5,4.28,CN,1667641008
487,juneau,58.3019,-134.4197,272.15,100,75,0.0,US,1667641009
488,lompoc,34.6391,-120.4579,284.82,70,0,2.06,US,1667640764
489,panguna,-6.3164,155.4848,293.83,95,100,0.3,PG,1667641014
490,mehamn,71.0357,27.8492,275.12,93,100,3.09,NO,1667641016
491,tucuma,-0.1833,-50.05,297.33,88,75,1.02,BR,1667641017
492,brownwood,31.7093,-98.9912,280.77,81,0,0.0,US,1667641019
493,vostok,46.4856,135.8833,268.57,62,98,4.42,RU,1667641020
494,kutum,14.2,24.6667,300.9,16,6,3.87,SD,1667641022
495,sao lourenco do sul,-31.3653,-51.9783,289.93,82,18,4.09,BR,1667641023
496,san angelo,31.4638,-100.437,281.78,50,0,3.09,US,1667641025
497,cockburn town,21.4612,-71.1419,298.64,75,38,9.06,TC,1667641026
498,bilma,18.6853,12.9164,299.88,16,14,2.14,NE,1667641027
499,bilibino,68.0546,166.4372,260.99,75,100,3.27,RU,1667641029
500,fare,-16.7,-151.0167,296.94,93,100,12.22,PF,1667641030
501,buraydah,26.326,43.975,301.4,20,97,7.94,SA,1667641020
502,cangzhou,38.3167,116.8667,285.89,41,0,2.4,CN,1667641033
503,matara,5.9485,80.5353,300.78,75,100,3.3,LK,1667641034
504,burgeo,47.6167,-57.6152,282.4,91,82,3.56,CA,1667641036
505,yulara,-25.2406,130.9889,301.71,16,18,1.57,AU,1667641037
506,williams lake,52.1415,-122.1445,272.91,82,20,7.2,CA,1667641003
507,sorland,67.667,12.6934,282.07,81,100,0.93,NO,1667641040
508,otane,-39.8833,176.6333,287.04,73,98,1.02,NZ,1667641041
509,concepcion del oro,24.6333,-101.4167,286.66,33,0,2.51,MX,1667641043
510,dingle,10.9995,122.6711,299.21,88,75,2.77,PH,1667641044
511,itajuba,-22.4256,-45.4528,286.9,86,96,0.86,BR,1667641046
512,haines junction,60.7522,-137.5108,262.12,57,100,2.57,CA,1667641047
513,otavi,-19.65,17.3333,302.53,11,80,1.79,NA,1667641049
514,salalah,17.0151,54.0924,304.2,48,0,3.6,OM,1667641050
515,madhipura,25.9167,86.7833,302.45,43,0,1.13,IN,1667641051
516,takab,36.4009,47.1133,284.77,31,1,5.21,IR,1667641053
517,selikhino,50.3672,137.4996,271.0,53,100,0.59,RU,1667641054
518,mahajanga,-15.7167,46.3167,296.16,94,75,2.06,MG,1667641056
519,poronaysk,49.2167,143.1167,272.06,66,73,3.43,RU,1667641057
520,manado,1.487,124.8455,298.58,94,40,0.51,ID,1667640815
521,beyneu,45.3167,55.2,281.65,57,93,0.91,KZ,1667641060
522,tura,25.5198,90.2201,297.87,81,7,1.0,IN,1667641061
523,ballina,-28.8667,153.5667,289.83,97,3,3.25,AU,1667641064
524,karpokhorion,39.3333,22.0167,291.94,35,70,1.15,GR,1667641065
525,zhezkazgan,47.8043,67.7144,273.14,80,100,5.0,KZ,1667641068
526,coruripe,-10.1256,-36.1756,296.28,85,100,4.61,BR,1667641071
527,leningradskiy,69.3833,178.4167,256.32,85,6,4.16,RU,1667641072
528,los llanos de aridane,28.6585,-17.9182,295.01,85,20,3.6,ES,1667641002
529,isla mujeres,21.2311,-86.731,296.18,74,14,3.94,MX,1667641075
530,mbanza-ngungu,-5.25,14.8667,293.19,96,100,1.75,CD,1667641076
531,jiangyou,31.7667,104.7167,290.32,70,91,0.67,CN,1667641077
532,brigantine,39.4101,-74.3646,290.93,95,0,2.06,US,1667641079
533,cherskiy,68.75,161.3,262.68,74,100,3.35,RU,1667641080
534,kalevala,65.2,31.1667,276.95,82,100,3.57,RU,1667641082
535,menongue,-14.6585,17.691,293.29,79,97,2.24,AO,1667641083
536,marsh harbour,26.5412,-77.0636,299.39,68,26,9.6,BS,1667640933
537,vieux-habitants,16.0589,-61.7659,298.91,75,100,4.32,GP,1667641086
538,salta,-24.7859,-65.4117,282.48,46,4,3.09,AR,1667641087
539,riyadh,24.6877,46.7219,300.23,39,99,5.7,SA,1667640805
540,polunochnoye,60.8697,60.4153,269.06,89,51,2.27,RU,1667641090
541,maragogi,-9.0122,-35.2225,296.49,88,100,2.41,BR,1667641091
542,kirakira,-10.4544,161.9205,299.64,81,100,1.05,SB,1667641093
543,sao joao da barra,-21.6403,-41.0511,291.2,75,1,6.14,BR,1667641094
544,sale,34.0389,-6.8166,294.53,83,40,2.57,MA,1667641096
545,gewane,10.1664,40.6453,306.86,21,1,3.82,ET,1667641097
546,mount gambier,-37.8333,140.7667,286.91,74,96,1.66,AU,1667641099
547,maniitsoq,65.4167,-52.9,268.37,75,100,2.31,GL,1667641100
548,bonnyville,54.2668,-110.735,268.04,90,100,5.45,CA,1667641102
549,cayenne,4.9333,-52.3333,296.17,94,0,0.0,GF,1667640868
550,deputatskiy,69.3,139.9,250.1,99,99,1.93,RU,1667641105
551,dudinka,69.4058,86.1778,266.83,95,100,7.28,RU,1667641108
552,balabac,7.9868,117.0645,300.69,82,100,3.8,PH,1667641109
